proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,https,98,91,https_connect_probe,2026-09-06T20:23:51Z,JP,elite,protocol,True,github_raw,25,1486,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,913,fresh
188.166.217.100:1080,188.166.217.100,1080,socks5,545,79,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,130,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,130,fresh
178.128.84.19:1080,178.128.84.19,1080,socks5,692,77,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,36,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,36,fresh
178.128.215.74:1080,178.128.215.74,1080,socks5,709,77,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,36,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,36,fresh
107.167.18.122:443,107.167.18.122,443,socks5,789,76,socks5_probe,2026-09-06T20:23:57Z,US,elite,protocol,True,api,28,94,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,94,fresh
103.121.90.82:37628,103.121.90.82,37628,http,438,75,http_fallback,2026-09-06T20:29:56Z,VN,elite,headers,False,github_raw,3,45,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,45,fresh
202.28.194.139:31280,202.28.194.139,31280,https,926,75,https_connect_probe,2026-09-06T20:23:51Z,TH,elite,protocol,True,html_table,26,1010,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,4621,UNINET-TH,Chiang Mai,Chiang Mai,geolite2,unknown,100.0,914,fresh
107.167.18.122:443,107.167.18.122,443,https,929,74,https_connect_probe,2026-09-06T20:23:51Z,US,elite,protocol,True,github_raw,28,93,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,93,fresh
107.181.252.58:1081,107.181.252.58,1081,socks5,1026,74,socks5_probe,2026-09-06T20:17:20Z,US,elite,protocol,True,github_raw,15,48,dbip,unknown,0,unknown,2026-09-05T06:46:46Z,unknown,unknown,,53850,"GorillaServers, Inc.",Ogden,Utah,geolite2,unknown,100.0,48,fresh
42.96.16.226:80,42.96.16.226,80,http,457,73,http_fallback,2026-09-06T20:17:11Z,VN,elite,headers,False,active_scan,1,105,dbip,unknown,0,unknown,2026-09-03T07:05:34Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,105,fresh
