proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,http,92,90,http_probe,2026-09-26T19:15:39Z,JP,anonymous,headers,True,github_raw,25,1694,dbip,unknown,0,unknown,2026-09-26T10:07:30Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,1479,fresh
213.188.192.1:80,213.188.192.1,80,http,37,83,http_fallback,2026-09-26T19:15:39Z,JP,transparent,headers,False,active_scan,1,269,dbip,unknown,0,unknown,2026-09-24T12:27:51Z,unknown,hosting,,30081,CacheFly,Tokyo,Tokyo,geolite2,unknown,100.0,269,fresh
66.112.208.147:80,66.112.208.147,80,http,217,75,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,67,dbip,unknown,0,unknown,2026-09-24T13:31:12Z,unknown,hosting,,25820,IT7 Networks Inc,Los Angeles,California,geolite2,unknown,100.0,67,fresh
154.17.10.75:80,154.17.10.75,80,http,249,74,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,173,dbip,unknown,0,unknown,2026-09-20T20:03:01Z,unknown,unknown,,906,DMIT Cloud Services,Los Angeles,California,geolite2,unknown,100.0,173,fresh
107.174.242.71:80,107.174.242.71,80,http,296,72,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,292,dbip,unknown,0,unknown,2026-09-23T16:35:26Z,unknown,unknown,,36352,HostPapa,Seattle,Washington,geolite2,unknown,100.0,292,fresh
179.255.184.12:80,179.255.184.12,80,http,361,71,http_fallback,2026-09-26T19:15:39Z,CA,unknown,unknown,False,active_scan,1,215,dbip,unknown,0,unknown,2026-09-26T08:38:40Z,unknown,unknown,,214238,Host Telecom Ltd,Ajax,Ontario,geolite2,unknown,100.0,215,fresh
179.255.185.127:80,179.255.185.127,80,http,372,71,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,hosting,Wireless Ltd,214238,Host Telecom Ltd,Springdale,Washington,geolite2,none,100.0,217,fresh
104.36.71.248:80,104.36.71.248,80,http,559,71,http_fallback,2026-09-26T19:15:39Z,US,elite,headers,False,active_scan,1,306,dbip,unknown,0,unknown,2026-09-23T04:44:08Z,unknown,hosting,,25820,IT7 Networks Inc,Los Angeles,California,geolite2,unknown,100.0,306,fresh
140.245.38.123:80,140.245.38.123,80,http,610,71,http_fallback,2026-09-26T19:15:39Z,SG,elite,headers,False,active_scan,1,48,dbip,unknown,0,unknown,2026-09-25T05:19:29Z,unknown,hosting,,31898,Oracle Corporation,Singapore,,geolite2,unknown,100.0,48,fresh
179.255.185.120:80,179.255.185.120,80,http,383,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,unknown,,214238,Host Telecom Ltd,Springdale,Washington,geolite2,unknown,100.0,217,fresh
179.255.185.73:80,179.255.185.73,80,http,387,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,hosting,Wireless Ltd,214238,Host Telecom Ltd,Springdale,Washington,geolite2,none,100.0,217,fresh
179.255.185.128:80,179.255.185.128,80,http,392,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,hosting,Wireless Ltd,214238,Host Telecom Ltd,Springdale,Washington,geolite2,none,100.0,217,fresh
179.255.185.129:80,179.255.185.129,80,http,392,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,unknown,,214238,Host Telecom Ltd,Springdale,Washington,geolite2,unknown,100.0,217,fresh
179.255.185.119:80,179.255.185.119,80,http,406,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,unknown,,214238,Host Telecom Ltd,Springdale,Washington,geolite2,unknown,100.0,217,fresh
179.255.185.169:80,179.255.185.169,80,http,410,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,unknown,,214238,Host Telecom Ltd,Springdale,Washington,geolite2,unknown,100.0,217,fresh
179.255.185.132:80,179.255.185.132,80,http,412,70,http_fallback,2026-09-26T19:15:39Z,US,unknown,unknown,False,active_scan,1,217,dbip,unknown,0,unknown,2026-09-26T07:33:32Z,unknown,unknown,,214238,Host Telecom Ltd,Springdale,Washington,geolite2,unknown,100.0,217,fresh
179.255.188.78:80,179.255.188.78,80,http,459,69,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T04:42:12Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,220,fresh
179.255.188.80:80,179.255.188.80,80,http,464,69,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T04:42:12Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,220,fresh
179.255.188.46:80,179.255.188.46,80,http,473,69,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,221,dbip,unknown,0,unknown,2026-09-26T03:58:08Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,221,fresh
179.255.188.118:80,179.255.188.118,80,http,495,68,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T04:42:12Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,220,fresh
179.255.188.128:80,179.255.188.128,80,http,495,68,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T05:05:09Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,220,fresh
146.59.146.178:8080,146.59.146.178,8080,http,510,68,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,386,dbip,unknown,0,unknown,2026-09-20T09:56:53Z,unknown,hosting,,16276,OVH SAS,,,unknown,unknown,100.0,386,fresh
179.255.188.123:80,179.255.188.123,80,http,527,68,http_fallback,2026-09-26T19:15:39Z,FR,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T05:05:09Z,unknown,unknown,,214238,Host Telecom Ltd,Angervilliers,Île-de-France,geolite2,unknown,100.0,220,fresh
80.87.192.75:80,80.87.192.75,80,http,571,67,http_fallback,2026-09-26T19:15:39Z,RU,unknown,unknown,False,active_scan,1,243,dbip,unknown,0,unknown,2026-09-25T09:38:46Z,unknown,hosting,,29182,JSC IOT,,,unknown,unknown,100.0,243,fresh
91.107.251.112:80,91.107.251.112,80,http,584,67,http_fallback,2026-09-26T19:15:39Z,DE,unknown,unknown,False,active_scan,1,833,dbip,unknown,0,unknown,2026-09-25T19:38:02Z,unknown,hosting,,24940,Hetzner Online GmbH,Nuremberg,Bavaria,geolite2,unknown,100.0,833,fresh
62.217.181.202:80,62.217.181.202,80,http,624,67,http_fallback,2026-09-26T19:15:39Z,RU,unknown,unknown,False,active_scan,1,767,dbip,unknown,0,unknown,2026-09-21T02:52:29Z,unknown,business,,198610,Beget LLC,St Petersburg,St.-Petersburg,geolite2,unknown,100.0,767,fresh
172.86.106.78:80,172.86.106.78,80,http,969,67,http_fallback,2026-09-26T19:15:39Z,US,elite,headers,False,active_scan,1,31,dbip,unknown,0,unknown,2026-09-25T20:00:02Z,unknown,unknown,,14956,RouterHosting LLC,,,unknown,unknown,100.0,31,fresh
45.92.177.104:80,45.92.177.104,80,http,632,66,http_fallback,2026-09-26T19:15:39Z,RU,unknown,unknown,False,active_scan,1,280,dbip,unknown,0,unknown,2026-09-24T02:43:50Z,unknown,hosting,,49505,JSC Selectel,St Petersburg,St.-Petersburg,geolite2,unknown,100.0,280,fresh
179.255.187.32:80,179.255.187.32,80,http,643,66,http_fallback,2026-09-26T19:15:39Z,NL,unknown,unknown,False,active_scan,1,221,dbip,unknown,0,unknown,2026-09-26T03:58:08Z,unknown,unknown,,214238,Host Telecom Ltd,Bovenkarspel,North Holland,geolite2,unknown,100.0,221,fresh
157.90.10.104:80,157.90.10.104,80,http,660,66,http_fallback,2026-09-26T19:15:39Z,DE,unknown,unknown,False,active_scan,1,848,dbip,unknown,0,unknown,2026-09-25T06:46:32Z,unknown,hosting,,24940,Hetzner Online GmbH,Falkenstein,Saxony,geolite2,unknown,100.0,848,fresh
179.255.186.186:80,179.255.186.186,80,http,683,66,http_fallback,2026-09-26T19:15:39Z,DE,unknown,unknown,False,active_scan,1,218,dbip,unknown,0,unknown,2026-09-26T06:51:14Z,unknown,unknown,,214238,Host Telecom Ltd,Berlin,State of Berlin,geolite2,unknown,100.0,218,fresh
179.255.187.128:80,179.255.187.128,80,http,686,66,http_fallback,2026-09-26T19:15:39Z,NL,unknown,unknown,False,active_scan,1,220,dbip,unknown,0,unknown,2026-09-26T05:05:09Z,unknown,unknown,,214238,Host Telecom Ltd,Bovenkarspel,North Holland,geolite2,unknown,100.0,220,fresh
161.22.39.58:999,161.22.39.58,999,http,2491,65,http_probe,2026-09-26T19:15:39Z,VE,anonymous,headers,True,text_site,17,75,dbip,unknown,0,unknown,2026-09-23T21:42:29Z,unknown,residential,,272809,"THUNDERNET, C.A.",,,unknown,unknown,100.0,75,fresh
47.77.198.28:80,47.77.198.28,80,http,548,64,http_fallback,2026-09-26T19:15:39Z,US,transparent,headers,False,active_scan,1,61,dbip,unknown,0,unknown,2026-09-24T18:15:22Z,unknown,hosting,,45102,"Alibaba (US) Technology Co., Ltd.",,,unknown,unknown,100.0,61,fresh
45.76.170.96:80,45.76.170.96,80,http,565,63,http_fallback,2026-09-26T19:15:39Z,US,transparent,headers,False,active_scan,1,615,dbip,unknown,0,unknown,2026-09-26T10:49:51Z,unknown,unknown,,20473,"The Constant Company, LLC",Los Angeles,California,geolite2,unknown,100.0,615,fresh
89.248.192.227:80,89.248.192.227,80,http,1265,61,http_fallback,2026-09-26T19:15:39Z,RU,unknown,unknown,False,active_scan,1,81,dbip,unknown,0,unknown,2026-09-24T01:39:23Z,unknown,hosting,,49505,JSC Selectel,Moscow,Moscow,geolite2,unknown,100.0,81,fresh
