proxy,host,port,protocol,latencyMs,qualityScore,checkType,lastChecked,country,anonymity,anonymitySource,supportsHttps,sourceCategory,sourceCount,consecutiveSuccesses,countrySource,residentialStatus,residentialConfidence,residentialSource,residentialCheckedAt,classificationScope,networkType,isp,asn,asnOrg,city,region,citySource,threat,reliabilityScore,reliabilitySamples,freshnessTier
140.227.61.201:3128,140.227.61.201,3128,https,98,91,https_connect_probe,2026-09-06T20:23:51Z,JP,elite,protocol,True,github_raw,25,1486,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,913,fresh
140.227.61.201:3128,140.227.61.201,3128,http,93,90,http_probe,2026-09-06T20:23:50Z,JP,anonymous,headers,True,github_raw,25,1116,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,2514,"NTT PC Communications, Inc.",,,unknown,unknown,100.0,901,fresh
188.166.217.100:1080,188.166.217.100,1080,socks5,545,79,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,130,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,130,fresh
178.128.84.19:1080,178.128.84.19,1080,socks5,692,77,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,36,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,36,fresh
178.128.215.74:1080,178.128.215.74,1080,socks5,709,77,socks5_probe,2026-09-06T20:17:20Z,CA,elite,protocol,True,github_raw,13,36,dbip,unknown,0,unknown,2026-09-05T08:36:20Z,unknown,hosting,,13335,"Cloudflare, Inc.",Singapore,,geolite2,unknown,100.0,36,fresh
107.167.18.122:443,107.167.18.122,443,socks5,789,76,socks5_probe,2026-09-06T20:23:57Z,US,elite,protocol,True,api,28,94,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,94,fresh
43.210.246.54:8080,43.210.246.54,8080,http,199,75,http_fallback,2026-09-06T20:17:11Z,TH,unknown,unknown,False,active_scan,1,173,dbip,unknown,0,unknown,2026-08-31T21:30:19Z,unknown,business,,16509,"Amazon.com, Inc.",Bangkok,Bangkok,geolite2,unknown,100.0,173,fresh
103.121.90.82:37628,103.121.90.82,37628,http,438,75,http_fallback,2026-09-06T20:29:56Z,VN,elite,headers,False,github_raw,3,45,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,45,fresh
202.28.194.139:31280,202.28.194.139,31280,https,926,75,https_connect_probe,2026-09-06T20:23:51Z,TH,elite,protocol,True,html_table,26,1010,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,unknown,,4621,UNINET-TH,Chiang Mai,Chiang Mai,geolite2,unknown,100.0,914,fresh
43.210.246.54:80,43.210.246.54,80,http,245,74,http_fallback,2026-09-06T20:17:11Z,TH,unknown,unknown,False,active_scan,1,173,dbip,unknown,0,unknown,2026-08-31T21:30:19Z,unknown,business,,16509,"Amazon.com, Inc.",Bangkok,Bangkok,geolite2,unknown,100.0,173,fresh
107.167.18.122:443,107.167.18.122,443,https,929,74,https_connect_probe,2026-09-06T20:23:51Z,US,elite,protocol,True,github_raw,28,93,dbip,unknown,0,unknown,2026-09-03T18:33:16Z,unknown,hosting,,46844,Sharktech,Los Angeles,California,geolite2,unknown,100.0,93,fresh
42.96.16.226:80,42.96.16.226,80,http,457,73,http_fallback,2026-09-06T20:17:11Z,VN,elite,headers,False,active_scan,1,105,dbip,unknown,0,unknown,2026-09-03T07:05:34Z,unknown,unknown,,131423,Branch of Long Van System Solution JSC - Hanoi,,,unknown,unknown,100.0,105,fresh
103.121.90.82:37628,103.121.90.82,37628,https,782,73,https_connect_probe,2026-09-06T20:29:57Z,VN,elite,protocol,True,github_raw,3,41,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,41,fresh
216.105.130.131:4145,216.105.130.131,4145,socks4,830,73,socks4_fallback,2026-09-06T20:17:17Z,US,elite,protocol,False,github_raw,10,76,dbip,unknown,0,unknown,2026-09-04T06:39:05Z,unknown,hosting,,20081,NET2ATLANTA.COM LLC,Simpsonville,South Carolina,geolite2,unknown,100.0,76,fresh
72.194.42.131:4145,72.194.42.131,4145,socks4,915,73,socks4_fallback,2026-09-06T20:17:17Z,US,elite,protocol,False,github_raw,10,76,dbip,unknown,0,unknown,2026-09-04T06:59:06Z,unknown,residential,,22773,Cox Communications Inc.,San Diego,California,geolite2,unknown,100.0,76,fresh
103.161.17.117:39294,103.161.17.117,39294,https,861,72,https_connect_probe,2026-09-06T20:29:57Z,VN,elite,protocol,True,github_raw,3,41,dbip,unknown,0,unknown,2026-09-05T09:40:34Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,,,unknown,unknown,100.0,41,fresh
42.96.15.210:60000,42.96.15.210,60000,https,933,71,https_connect_probe,2026-09-06T20:17:12Z,VN,elite,protocol,True,github_raw,3,106,dbip,unknown,0,unknown,2026-09-03T06:01:19Z,unknown,business,,135967,Bach Kim Network solutions Join stock company,Hanoi,Hanoi,geolite2,unknown,100.0,106,fresh
